survey_name,tow,vessel_id,station,tow_date,primary,km_towed,duration,avg_depth,gear_perf,bottom_temp,juv_fem,adult_fem,tot_fem,sl_<70,sl_70-91,sl_92-114,sl_>114,recruit,tot_mature,tot_legal,tot_male,arrowtooth,flathead,pacific_cod,pollock
SBSRES2015,15010003,30,CHA,6/12/2015,1,1.111,13,22,0,7.45,1,1,2,0,1,2,0,0,0,0,3,0.62,503.54,0,14.94
SBSSOL2015,15100003,32,CHA,6/12/2015,0,1.111,14,23,4,7.38,0,0,0,0,1,0,0,0,0,0,1,4.18,257.36,3.13,17.44
SBSRES2015,15010004,30,CHB,6/12/2015,0,1.852,23,62,0,6.49,1,3,3,1,23,18,5,1,5,1,48,39.14,493.01,6.13,2.74
SBSSOL2015,15100004,32,CHB,6/12/2015,1,1.889,28,55,4,6.57,9,108,118,1,105,54,71,5,76,5,237,50.41,245.01,12.59,12.02
SBSRES2015,15010002,30,CHF,6/12/2015,1,1.852,23,78,0,6.45,3,15,18,3,60,33,7,1,8,1,103,29.77,308.62,16.18,3.37
SBSSOL2015,15100002,32,CHF,6/12/2015,0,1.889,27,78,0,6.34,15,43,58,2,20,19,2,0,2,0,42,74.88,155.71,9.55,0.71
SBSRES2015,15010001,30,CHK,6/12/2015,1,1.852,24,85,4,6.7,8,1,9,18,3,1,0,0,0,0,21,154.34,186.61,5.63,3.57
SBSSOL2015,15100001,32,CHK,6/12/2015,0,1.667,29,75,0,6.7,9,70,79,4,14,25,13,0,14,1,57,234.15,158.61,13.77,0.84
SBSRES2015,15010005,30,CHL,6/12/2015,1,1.852,24,100,0,6.75,5,2,7,8,2,1,0,0,0,0,10,156.5,246.73,13.6,4.01
SBSSOL2015,15100005,32,CHL,6/12/2015,1,1.871,27,96,0,6.76,2,2,3,2,1,1,0,0,0,0,3,131.35,84.7,3.79,3.82
SBSRES2015,15010015,30,256,6/13/2015,0,1.852,23,88,0,6.28,0,46,46,2,2,6,2,0,2,0,12,265.3,127.15,16.57,0
SBSSOL2015,15100011,32,256,6/13/2015,1,1.908,28,76,0,6.29,0,19,19,1,4,6,2,0,2,0,13,320.36,48.63,6.34,4.32
SBSRES2015,15010014,30,257,6/13/2015,0,1.852,24,80,0,6.21,0,0,0,0,0,0,0,0,0,0,0,257.68,53.87,5.17,0.63
SBSSOL2015,15100010,32,257,6/13/2015,0,1.871,25,89,0,6.15,0,0,0,0,0,0,0,0,0,0,0,290.24,70.67,8.02,1.66
SBSRES2015,15010010,30,313,6/13/2015,0,1.852,24,111,4,6.13,2,19,21,1,1,1,0,0,0,0,3,146.46,29.47,2.69,0
SBSSOL2015,15100008,32,313,6/13/2015,1,1.852,27,110,4,6.12,1,16,17,1,2,3,0,0,0,0,5,181.34,82.55,2.29,0
SBSRES2015,15010009,30,283A,6/13/2015,1,1.852,23,96,0,6.25,1,40,42,2,4,6,2,0,2,0,13,123.56,78.95,3.7,0
SBSSOL2015,15100007,32,283A,6/13/2015,1,1.908,26,86,0,6.34,10,93,103,16,56,29,2,0,2,0,103,245.91,16.11,0,0
SBSRES2015,15010019,30,283B,6/14/2015,1,2.037,25,93,0,6.22,1,9,10,1,5,2,1,0,1,0,9,329.77,42.44,0.79,0.5
SBSSOL2015,15100009,32,283B,6/13/2015,1,1.852,27,95,0,6.15,0,52,52,0,3,24,10,0,10,1,37,409.13,79.86,1.62,0.67
SBSRES2015,15010008,30,MOGX,6/13/2015,1,1.852,23,95,0,6.11,1,11,12,2,8,5,1,0,1,0,16,295.76,84.11,7.46,0
SBSSOL2015,15100006,32,MOGX,6/13/2015,0,2.019,28,96,0,6.11,1,13,15,1,6,6,1,0,1,0,14,260.35,121.22,13.32,5.05
SBSRES2015,15010021,30,255A,6/14/2015,0,1.852,23,86,0,6.1,6,7,13,2,2,2,1,0,1,0,8,104.55,60.98,2.15,0.24
SBSSOL2015,15100016,32,255A,6/14/2015,0,1.852,27,84,0,6.14,2,7,9,2,1,4,1,0,1,0,8,179.17,81.37,3.67,0.84
SBSRES2015,15010020,30,255B,6/14/2015,0,1.852,24,68,0,6.4,0,6,6,0,1,4,1,1,1,1,5,276.91,63.55,0,3.7
SBSSOL2015,15100015,32,255B,6/14/2015,1,1.871,28,71,0,6.39,0,21,21,1,1,18,5,1,5,1,25,385.66,105.03,0,3.47
SBSRES2015,15010018,30,MOLA,6/14/2015,0,1.852,24,115,0,6.1,6,20,26,10,5,10,2,0,2,0,26,459.54,57.63,7.32,1.3
SBSSOL2015,15100014,32,MOLA,6/14/2015,1,1.908,28,111,0,6.12,9,6,15,11,6,5,3,0,3,0,25,514.65,132.37,7.18,0
SBSRES2015,15010022,30,MOLB,6/14/2015,0,1.852,24,86,0,6.16,0,0,0,0,0,0,0,0,0,0,0,170.01,95.1,0,0
SBSSOL2015,15100017,32,MOLB,6/14/2015,1,1.871,27,85,0,6.14,0,1,1,3,0,0,0,0,0,0,3,148.7,85.44,1.44,0
SBSRES2015,15010023,30,MOPA,6/14/2015,0,1.852,25,95,0,6.1,16,9,25,21,10,6,2,0,2,0,38,324.96,187.45,2.55,1.71
SBSSOL2015,15100018,32,MOPA,6/14/2015,1,1.852,26,88,0,6.15,18,14,32,20,4,3,1,0,1,0,28,482.75,60.1,0.81,0
SBSRES2015,15010016,30,MOXA,6/14/2015,1,1.852,24,85,0,6.26,1,0,1,4,0,1,0,0,0,0,5,248.86,222.99,27.5,5.54
SBSSOL2015,15100013,32,MOXA,6/14/2015,0,1.852,26,91,0,6.26,3,0,3,4,0,0,0,0,0,0,4,332.36,330.16,16.66,2.48
SBSRES2015,15010017,30,MOXB,6/14/2015,1,1.852,24,93,0,6.21,3,0,3,3,0,0,0,0,0,0,3,276.04,169.6,8.61,0
SBSSOL2015,15100012,32,MOXB,6/14/2015,1,1.852,27,91,0,6.22,1,2,2,2,0,1,0,0,0,0,3,367.22,205.16,3.29,2.35
SBSRES2015,15010031,30,KZG,6/15/2015,1,1.852,25,75,0,6.6,17,5,22,13,7,24,10,1,11,1,55,136.86,131.36,0,1.34
SBSSOL2015,15100025,32,KZG,6/15/2015,0,1.019,14,76,0,6.56,77,10,86,0,3,22,5,0,5,0,29,93.97,157.47,0,0
SBSRES2015,15010030,30,KZJ,6/15/2015,1,1.852,25,73,0,6.7,8,0,8,9,2,0,1,0,1,0,11,49.59,116.25,2.28,1.05
SBSSOL2015,15100024,32,KZJ,6/15/2015,0,1.759,23,70,0,6.7,31,3,34,24,0,0,0,0,0,0,24,43.17,130.51,1.73,1.05
SBSRES2015,15010029,30,KZK,6/15/2015,0,1.852,26,96,0,6.32,17,12,29,36,90,23,2,0,2,0,152,303.6,121.06,4.06,13.31
SBSSOL2015,15100023,32,KZK,6/15/2015,1,1.852,28,104,0,6.27,16,10,25,23,145,24,9,0,9,0,200,535.43,164.29,5.67,4.75
SBSRES2015,15010028,30,KZO,6/15/2015,0,1.852,24,111,0,6.22,27,127,153,2,56,45,14,1,15,1,118,1932.02,41.71,9.67,0.81
SBSSOL2015,15100022,32,KZO,6/15/2015,1,1.908,27,108,0,6.23,18,26,44,17,73,26,4,0,4,0,119,493.51,92.27,7.57,0.92
SBSRES2015,15010026,30,KZR,6/15/2015,1,0.926,12,64,0,5.47,51,31,82,72,133,75,42,15,58,17,338,46.47,38.35,1.78,3.12
SBSSOL2015,15100019,32,KZR,6/15/2015,0,0.982,16,65,0,5.49,192,69,262,115,267,173,104,54,162,58,717,30.4,43.72,13.49,18.53
SBSRES2015,15010025,30,KZS,6/15/2015,0,0.926,12,47,0,5.64,75,82,157,49,32,18,14,8,22,8,121,18.24,99.34,9.65,5.35
SBSSOL2015,15100020,32,KZS,6/15/2015,0,1,15,60,0,5.56,66,1331,1397,0,26,104,140,81,253,113,383,10.73,62.67,10.7,32.4
SBSRES2015,15010027,30,MONX,6/15/2015,1,1.852,25,105,0,6.23,2,10,12,0,10,4,1,0,1,0,15,320.91,79.76,20.58,1.7
SBSSOL2015,15100021,32,MONX,6/15/2015,1,2.037,29,105,0,6.25,2,9,12,0,13,5,0,0,0,0,19,380.13,128.8,39.18,1.2
SBSRES2017,17100002,30,CHL,5/31/2017,1,1.852,24,103,0,5.8553042,79,0,79,96,1,0,0,1,1,1,97,96.6,292.12,2.3,2.46
SBSSOL2017,17110002,32,CHL,5/31/2017,1,1.852,27,99,0,,402,2,404,449,0,2,0,0,0,0,451,63.25,185.63,1.41,2.15
SBSRES2017,17100003,30,CHF,5/31/2017,1,1.852,24,72,0,5.209375,447,47,494,624,17,10,20,3,23,3,674,39.13,262.14,4.96,6.64
SBSSOL2017,17110003,32,CHF,5/31/2017,1,1.852,27,78,2,,201,25,226,224,4,5,2,0,2,0,234,11.7,191.93,1.38,1.58
SBSRES2017,17100004,30,UGB,6/1/2017,0,1.852,24,49,0,5.0753627,3,4,7,2,0,1,0,0,1,1,3,26.23,76.52,12.17,58.96
SBSSOL2017,17110004,32,UGB,6/1/2017,1,1.852,25,50,0,5.085724,1,1,2,3,0,2,1,0,2,1,7,20.7,66.43,19.52,87.06
SBSRES2017,17100005,30,UGC,6/1/2017,1,1.852,23,51,0,5.1313176,3,1,4,4,1,5,12,7,20,8,29,30.74,141.17,7.66,42.8
